name,face_sentiment,text,Lidor,Liora,Roee,Barak,Ania,Or,Ben,Skyler
PRES_LESSIG_WHO_OWNS_TRUMP_15,"[[0.9786259812903086, 0.0012998025869853374, 1.6741661221783015, 0.2017191370762423, 7.979767563370757, 0.004328714466982632, 3.4458064756964726], [0.6640613611255374, 6.183246422811603e-07, 5.123998863356454, 0.0221628845403237, 7.07275526864188, 0.010522425873205066, 1.3922130422932761], [0.012044770629285868, 2.7598821382527667e-06, 0.005188762170337867, 0.2875579692457896, 13.89538047371305, 3.918922563091988e-08, 0.0855394623537254]]","I'm Hillary Clinton and I approve this message. ""Evelyn the clothing do you know where were these made?"", ""These were made... I don't know where they were made, but they were made some place. But they're great. Suits ties, shirts, everything sold at Macy's and they're doing great."", ""Where the shirts were made?"", ""Bangladesh."", ""They were made in China"".",both,base,0,center,0,0,center,center
PRES_LOCALVOICES_BARCLAY_60,"[[9.269158927302488, 2.6609844613418204e-06, 0.07590408463429396, 0.0044504690798770775, 1.3319101193398948, 1.3705943849441571e-05, 3.604274558511429], [0.027734736379768168, 6.231830797430251e-07, 0.09124405415994781, 0.15949572303465434, 0.358087063900062, 0.023973816340523108, 13.625178166798182], [7.556624032496825e-05, 2.375783629034816e-15, 10.403889806393703, 0.0024799212659721735, 3.5008155789666353, 0.002804216140492375, 0.3756501760576662], [0.012333611715954786, 1.1301133562001376e-09, 0.14007125885299596, 0.0009627657022165777, 5.48159201587445, 7.501301612734327e-05, 10.691496247678609], [1.366128101363111, 5.399298505644814e-07, 0.16746008886137845, 0.39057030368764156, 1.0148178919262916, 9.028799120960514e-05, 13.387463243738576], [4.380683388028826, 0.0036606244975700974, 0.3268786572984287, 0.016751978546380997, 2.044945103781564, 0.0022778834266188952, 7.510516473225185], [13.499421732766288, 0.00012931017668701576, 0.033698350723300664, 0.0003318856345556144, 0.4119029002530234, 3.803599416382245e-06, 0.3402265320931162], [1.8447954739843095, 7.66108070950265e-06, 0.08058961746948105, 0.010992888461000152, 0.7640799241406577, 1.5537594728292398e-05, 11.585233041218348], [8.474464927400861, 1.9278757955122827e-08, 0.04637031815946102, 0.0005319458328553342, 0.9736005749021258, 2.177418829368045e-06, 4.790742908205305], [5.549495040063051, 8.897992992251934e-10, 0.0015786496499599948, 0.0012259353184033482, 0.43277306666894866, 5.768658276128075e-07, 8.300641248094088], [0.0011788417838808042, 2.6140326581703903e-11, 0.5928142083517097, 8.463351362684646e-06, 13.634671444915876, 3.470527564419426e-08, 0.057041961108307566], [0.26486983238874867, 1.0288094006298326e-08, 0.6308437834118646, 0.0005094004250412794, 8.332528031959672, 8.706045166025385e-06, 5.056954583088689], [9.959344688746127, 1.4461035694181983e-05, 1.0328381356148542, 0.0005698671524514003, 0.5363775790528409, 3.871919495850518e-05, 2.756532078057094], [2.755859707083021, 2.649487182030238e-05, 0.23454675184828894, 0.0012607738816378905, 0.47706434769289835, 8.667340288021868e-05, 10.816869565418788], [14.228522777557373, 2.6394394987099597e-06, 0.005440494195292038, 0.000991826631694234, 0.042950455099344254, 3.704780543297862e-05, 0.0077692018489220315], [0.1475523625101362, 4.221068193390108e-07, 0.01558717672846147, 0.0064076036713751295, 0.21013340779713222, 1.1603422730591514e-05, 13.906021629061017], [12.478180227062728, 2.316702534775146e-05, 0.04187578368941351, 0.005402799558148374, 0.9607629133180277, 1.982117584001287e-05, 0.7994500542734416]]","I'm Hillary Clinton and I approve this message. ""Who you were consulting with consistently so that you're ready on day one?"", ""Speaking with myself because I have a very good brain myself."" While Donald Trump consulted with himself. As Secretary of State, Hillary Clinton negotiated a ceasefire in Gaza, reduction in nuclear weapons took on Vladimir Putin and stood up against the trafficking of human beings. A steady leader in an unsteady world.",center,center,center,0,0,center,0,0
PRES_NEWDAYFORAMERICA_NEWT,"[[0.16735406326396124, 1.149650431995854e-06, 0.0002849874103308788, 14.117599385125297, 0.0003943353086859653, 7.113794505845103e-07, 7.974134470194778e-05], [0.9508296222056835, 0.0003421165850549644, 4.543837822012898, 0.14442111305861233, 10.279328838071228, 4.885767205323921e-05, 0.40772229283490086], [0.8503364163137322, 0.01684640175044048, 2.634503072846265, 0.09055565106085114, 9.465406597614807, 1.556385085901881, 1.712497107064152]]","I do not believe we live in a single issue country. The economy is rigged in favor of the top. Americans haven't had a raise in 15 years, but I want to go further whether it's poison in the water, hard-working immigrant families, living in fear racism holding people back. A big financial interest along with drug companies, insurance companies, big oil companies, the indifferent the negligence. That's what I want to take on. I'm running for president to root out all of these barriers because I think America and only live up to its potential with. We make sure that every American has chance to live up to his or her potential. I'm Hillary Clinton and I approve this message.",base,both,both,0,both,0,0,center
PRES_NEWDAYFORAMERICA_ON_THE_JOB_TRAINING,"[[0.030428210526016134, 6.638083955889961e-10, 0.10373415620742459, 0.0006121084535534859, 15.980361393216544, 3.0527729693742523e-05, 0.5029094947427696], [0.000294550998546695, 6.18543426506379e-14, 0.36541720635482616, 6.991252438459668e-08, 11.553086390423815, 1.6234558316897128e-09, 2.3669159120186007], [4.3161527080195174, 0.0008695718541831011, 5.050022964114073, 0.4310768356617039, 3.6083219503348665, 0.0752437831762822, 3.1363863133643406], [0.0033288447801688953, 1.141268139040871e-05, 0.04173354245722294, 0.05103259879563536, 14.060806376593453, 0.0015334174219918037, 0.1272674383861678], [1.9268106137003218, 1.8389391596786352e-07, 0.11239501514605113, 0.009301742206194572, 9.934574365615845, 1.2725502886366615e-05, 2.302619389125279], [2.4398265140397206, 0.017495341931602786, 1.4868204082761491, 0.3356701561382839, 3.7077993154525757, 4.8697552510670254, 1.4283470809459686]]","I really wanted to start with a thank. And I want you to know how much it has meant to me, as I've traveled across the state, to hear about people's hopes and struggles. And I know that because of that, I will be a better president if I'm elected, and if you go to the caucus on Monday night and stand up for me there. I will work my heart out to give you and our country. The future that we deserve together. I'm Hilary Clinton and I approve this message.",0,center,0,center,0,0,center,center
PRES_NEWDAYFORAMERICA_US,"[[0.020556624536877687, 2.627705190538419e-09, 6.9434448164336535, 0.029766262155228145, 4.6693508684331055, 0.0013688839280060778, 4.662043677300823], [0.00031644154525872526, 1.7674117792782824e-14, 14.251969545844847, 2.157988768318114e-08, 0.03248875174273317, 6.87066646685396e-05, 0.0008696107088493456], [0.6194380983466197, 3.861646751969386e-05, 0.7272325258702496, 0.3501043673196958, 1.8998970014585599, 10.044440547246316, 0.6445633217597562], [0.02719799688618098, 2.1592630413839027e-06, 7.997367211750576, 0.015794254639851197, 0.06736950017511845, 6.146158490862165, 0.03182476918612208], [0.7268454485914918, 0.013602573709060326, 1.2109427446819594, 1.1277141117003737, 12.533829059406646, 1.606752165109444e-05, 0.7135809225231872]]","I spent 22 years in the Air Force, and I was a republican for every one of them. I was rationalizing Donald Trump's behaviors until I heard that tape. That was the last straw. I don't want my granddaughter thinking It's okay to be treated that way. And my grandson growing up thinking, that's how you should treat women. That scares me. That scares me a lot. So Hillary's got my vote. We don't see eye to eye on everything, but she's strong and I respect her and she someone that my grandkids can respect. I am Hilary Clinton and I approve this message.",0,center,center,0,center,both,0,0
PRES_NPV_MARBLES,"[[13.938793114253453, 3.0376771119679405e-23, 3.5095393156682674e-05, 4.2110896357274085e-07, 0.34677708255393164, 1.2533862309645421e-19, 0.00010895779009193316], [0.09170322176989866, 0.0008286530520162181, 0.7043797748677368, 0.221882374826873, 1.3657428787847434, 0.04169487417471913, 14.191844541329685], [3.568956885520671, 0.00010436948025027418, 0.2171589483464868, 0.011562658481124448, 9.038858710382273, 5.673076894273914e-05, 3.8289769600716723], [3.025840828937171, 0.008749717070837272, 0.8812776626769444, 10.310773101665392, 0.05648358662541514, 1.0624150117220274e-05, 0.0025786999403841757]]","I think we can all agree. It's been a long campaign. But tomorrow you get to pick our next president. So here are a few things that I hope you'll think about. First, It's not just my name and my opponent's name on the ballot. It's the kind of country we want for our children and grandchildren. Is America dark and divisive, or hopeful and inclusive. Our core values are being tested in this election, but everywhere I go, people are refusing to be defined by fear and division. Look, we all know we've come through some hard economic times. And we've seen some pretty big changes, but I believe in our people. I love this country and I'm convinced our best days are still ahead of us, if we reach for them together. I want to be a president for all Americans. Not just those who support me in this election, for everyone because we all have a role to play in building a stronger, fairer America. The second thing I want you to know is this. I will work my heart out as president to make life better for you and your family. We won't always get it right, but you can count on this. I've never quit and I never will. I'll get up every day determined to keep America safe and strong, and make our economy work for everyone, not just those at the top. And finally working for children and families has been the cause of my life, but it's Has never been more important than it is right now. This has to be our mission together, to give our kids and every American, the chance to live up to their god-given potential. So tonight I'm asking for your vote and tomorrow let's make history together. I'm Hillary Clinton and one last time I approve this message.",center,base,0,center,0,0,center,center
PRES_NRTPAC_CORRUPT_AND_DANGEROUS_60,"[[0.44465485417488626, 2.126185982679359e-06, 12.439598245937379, 0.18715597474227483, 1.027120711035771, 0.025742169939579194, 0.16143980200868516], [1.137818076780864, 0.0008991784332985324, 12.826840366636004, 0.04157632190201964, 0.08558422060949462, 0.1886365802160331, 0.0043598465189071635], [0.9354517928191594, 2.9595555263637963e-05, 10.808228594916207, 0.0172215563777302, 2.4569609335490634, 0.025563379417040517, 0.04225883499852249], [0.006880814328849515, 1.5357322190195054e-18, 6.211570050155337e-06, 1.9388265755936243, 4.968562740802788, 0.00018083175040819514, 9.412072811807905]]","""This epidemic of gun violence knows no boundaries."" Hillary Clinton has what it takes to stand up to the republicans and the gun lobby. ""We need to close the loopholes and support universal background checks. How many people have to die before we actually act before we come together as a nation?"" I'm Hilary Clinton and I approve this message.",center,center,0,center,0,0,0,0
PRES_OBAMA_ALWAYS,"[[4.308900237083435, 0.0013430431343814625, 0.641012830393655, 0.032918261630194526, 8.772768293108259, 0.02171420492231846, 0.5070582032203674], [0.9865926844733102, 6.595203672077332e-06, 0.020517872846020118, 0.003548766004054674, 5.85391776902335, 7.09452641396118e-06, 7.42112398147583], [0.29872466943093706, 5.933972196154562e-05, 0.017477678401129588, 0.013674525377739753, 3.9670067174094066, 0.0002278916716542361, 9.98854296548026], [3.077264768736703, 0.00015327799961336756, 2.2523739508220126, 0.0001493115243127769, 8.39530314717974, 0.0004313423622599138, 0.5600374724183764], [0.018157712665295173, 3.2218949666985807e-10, 1.2716826582428518, 0.0009301953914328479, 14.868415675318301, 0.010427683421716823, 0.1569161996509123], [0.0013252414646558464, 1.5215845448692177e-09, 13.270196744373866, 7.23037438936964e-05, 0.050822991345609934, 0.0005466203479695, 0.9627499750682286], [0.41940720485789434, 9.271700816628123e-06, 0.20998001896909305, 0.022207563077764853, 3.0816770025662015, 0.00042014055777274607, 10.552013771874565], [1.028278682913099, 2.736763552288072e-06, 0.08968198006706578, 0.001959843627576317, 2.825054100581578, 0.0001467505691315247, 10.340590987886701], [0.3975562988255202, 6.6724249153757845e-09, 0.0020476132105544634, 0.0010115870495048748, 0.4909888202541363, 3.2280191873672473e-06, 13.394107084263643], [0.013419979606767298, 2.4189577982536066e-07, 5.487323623508997, 0.24910516727625226, 9.255820538837778, 0.005978053456492914, 1.6064281723214433], [0.23190623947552272, 0.00026977896985564645, 4.434254339763096, 0.0009725459676701576, 9.589758941105433, 0.00048406244396963824, 0.028069111119423593], [0.1423347777995628, 7.1802707266952946e-09, 0.0014177370369490747, 0.002614098671522046, 0.8545811641568483, 1.343177412081221e-07, 13.28476655471948], [1.1803438260079009, 2.068509195257805e-06, 0.12522565415143608, 0.001441019602429492, 5.882433407451714, 0.0001850991384233566, 7.096083246576639], [0.6241823413542339, 6.337578010321263e-05, 0.024276288292769874, 0.14196233823895454, 2.4794753108705794, 0.0026829621804478976, 11.013071877615792], [0.6381400993892125, 4.565400623895195e-05, 0.05569158321512597, 0.11705601853983742, 5.379277467727661, 0.0006589476730109059, 8.094844647816249]]","Jeb Bush if using scorched-earth attacks on fellow republicans. Why? Bush can't defend his liberal record supporting Common Core and the Wall Street bailout. Bush can't defend his private sector experience, making millions from a company that promotes Obamacare. All Bush has is the past. So he attacks. Jeff Bush, bad ideas. Not the answer for our future. Conservative Solutions PAC is responsible for the content of this advertising.",center,base,0,center,0,0,center,center
PRES_OBAMA_CHARACTER,"[[2.0673306924956187, 0.00043248344029832097, 8.555973427636284, 0.3105845036251204, 2.3569243294852122, 0.8945002087524959, 0.09996889691267695], [0.07306667081131846, 3.290705666796489e-05, 12.503233019987439, 0.08040216698446588, 0.01308185492252013, 1.6158549812094218, 4.24165259520079e-05], [6.59699695450919, 0.005308248468541673, 7.089791553361075, 0.016409363265016248, 0.5349052803856986, 0.03500041285795825, 0.007303005882671901], [0.48006634627069744, 0.0003120193339002851, 1.8258026668003626, 8.886053732463292, 2.800384589603969, 0.011010148695537023, 0.2820846757718495], [0.0004782101357655219, 1.3277121469028845e-08, 1.6889367924195573, 10.351961468565156, 4.1967067350206815, 1.0478765312039624e-06, 0.08844488044314727], [0.044087061126317294, 3.3018577840136587e-06, 0.08284025825560093, 0.01299766091895955, 2.611535361834935, 6.716350721295125e-05, 11.534184217453003], [0.008604201929945331, 5.08413314320136e-08, 0.012227915649719834, 0.02647382545312754, 0.1270546555296988, 0.0025524482317365103, 16.149617937722628], [6.747011201722281, 1.0927872099283524e-08, 0.0008030655798003343, 0.18831573958907807, 0.03119124033089195, 5.6202751303706986e-05, 7.318337474550519], [13.496437986830234, 5.0514680307181723e-11, 1.781347629671194, 0.0006440112877874694, 1.0327259344714028, 1.3095922822838567e-05, 0.015362681822770521], [0.28435720929077696, 0.0033303669105017824, 13.76600180353437, 0.06607393068926674, 0.07428552157112531, 0.09045751898416451, 0.0012080934538971633], [0.15771762867059028, 2.8701917033556257e-06, 13.476686818259102, 0.1821983206484999, 0.263413494186742, 0.09966249843793255, 0.10603273154369422], [2.818454376288823, 6.545931552994131e-05, 0.31632198286908014, 0.09764826058277062, 3.586829560143607, 0.0009677034021089119, 7.465427262442453], [0.579070390488544, 5.609625415561854e-06, 0.1084830150007162, 0.052858723146386455, 0.36046726855600086, 0.001206359241503972, 13.183622832207002], [1.3541879912901618, 0.0027376552274797797, 10.422648311367407, 0.25145807632026446, 0.19734978451986837, 0.251376199771108, 1.8059551691721816], [1.6756570764950343, 0.0003697298909953263, 5.082939352308001, 6.217990177018302, 0.1241678771163736, 0.17069059291056224, 1.0138998074190957], [0.00016261308021562568, 2.774689302550152e-11, 7.9708508340840405, 0.049182498058855405, 7.1391578684543, 0.00027299347967407115, 1.5000977504546003]]","""We have every right to dream heroic dreams. Those who say that we're in a time when there are no heroes, just don't know where to look."" He believes in the American dream because he has lived it. It is Marco Rubio. His parents fled dictatorship, then work their way to a better life. One of opportunities and possibilities are young man in a hurry. He took on the republican establishment, the experts were shoked, but not the people. They knew, because it is day for his clear, conservative voice. Less government, more freedom, a foreign policy founded on strength, real opportunity for every American who wants to earn, a new generation of leadership to unite conservatives and reignite the American dream. ""Now, the time has come for our generation to lead the way towards a new American Century."" Belive in the future. Marco Rubio for president. Conservative Solutions PAC is responsible for the content of this advertising.",0,center,0,center,0,center,0,0
PRES_OBAMA_CYNICAL,"[[1.2911004755569964, 0.017826299465793585, 5.690832436084747, 1.6040881414520134, 2.0940909884413896, 0.010323001823758669, 5.618269262569291], [5.056783984602742e-12, 4.721482602716993e-28, 1.3153818312350296e-09, 3.0401763646230915e-07, 0.0039019900473899077, 5.529893922679393e-15, 14.281811884471349], [0.0001100488069433985, 2.8471295299662913e-25, 1.7773881414281538e-06, 0.0024680060700380375, 1.2768114251749856, 2.480783194868713e-17, 13.00632357597351], [1.0433754554783903e-10, 3.2644122964950234e-30, 1.3723588931924269e-08, 0.0006587398924498952, 9.186822223585165e-05, 1.1445530336400555e-16, 14.284963267190117], [2.1952566535710996, 6.798473935386419e-08, 0.0013009345427113818, 12.06990296916724, 0.007181066250311168, 3.7893972125394415e-07, 0.012073200084108546], [5.797173295702253, 3.465190080273065e-05, 0.034567278011568954, 7.7721399920327325, 0.23532908942018235, 2.5919486493616466e-05, 0.44644405799252646], [12.72623359376733, 6.754968268959888e-05, 0.012225125414300203, 1.4341993846160659, 0.01926134688102286, 2.1840694365432322e-07, 0.09372783718232479], [4.1853894050205245, 6.826299156185758e-06, 2.4151995404022744, 6.373965294203832, 1.8394729421108427, 0.846854978463533, 0.6656417926123325], [4.134233508791242, 0.003965000671866749, 1.2324253363268716, 0.042594819595771174, 1.6131062592778886, 0.3751484145011221, 6.8842406783785135], [3.26423515464277, 0.009264521453862959, 1.0014443057784876, 0.018864822966637447, 0.36558803753440944, 8.913416201675904, 0.712901236672986]]","Ted Cruz says, Donald Trump has boatloads of liberal positions. Donald Trump says Ted Cruz can't beat the Democrats. Well, they're both right. Marco Rubio is the conservative who can win and the Clinton machine knows it. Marco Rubio. He'll unite Republicans and restore the American dream. If you're not with Marco, you're electing the Democrats. Conservative Solutions PAC is responsible for the content of this advertising.",center,center,center,0,0,both,0,0
PRES_OBAMA_FIRST_LAW,"[[0.2412297884256414, 4.0787095312568855e-07, 10.523307538650753, 1.9856740914084947, 3.3165929881991585, 0.03489205876259534, 0.22483380664769065], [0.00299382664973927, 3.4206992855725694e-07, 0.2653262077003732, 14.327815586966736, 1.7732095380576778, 0.007743459263795895, 0.24098677916589248], [0.19913036570140474, 1.3958810002593462e-06, 2.0339679212347312, 0.0410234302662261, 0.27520491226985905, 0.00031218971025745933, 13.776890762372917], [2.6912768394790225e-05, 1.3974919495970242e-13, 7.38485370363508, 5.675153553446373e-06, 4.265991279057094, 1.776508692533493e-06, 2.634835030351366], [0.003446954152812915, 3.78898375531987e-06, 0.1823044115943568, 0.00014942131331606236, 14.097775731767927, 6.492620409557861e-08, 0.002034094775029059], [9.130366558045872e-07, 1.1449071331166772e-14, 0.04450745015804257, 0.01405330840498209, 14.227145910263062, 1.4623972667747255e-09, 7.4565978788346655e-06], [2.412947260292732, 1.2481266228804964e-06, 0.03061313255236837, 1.2788180065270622, 1.1345676289545203, 0.0004198548393746153, 11.469164211045811], [0.016808200494519303, 1.8698471342710425e-08, 0.02787927764334849, 0.07062008205269064, 0.8963393313544137, 2.7864400310915827e-05, 13.274039540972028], [0.0013127243229454117, 3.267154261058142e-16, 1.8154431666646684, 1.7038364370185784e-08, 10.525889907564435, 7.755830328169479e-11, 1.9430686320577348], [14.242260242724297, 8.446960229941604e-13, 0.2561718873607462, 0.3098816731264699, 1.5588164707474008, 0.00014557759506943427, 0.299390473459812], [0.002695860998106322, 1.4279031330349007e-09, 14.071166515350342, 0.04542935972235033, 0.015688473026135137, 0.15057061931916646, 0.0001639673428144306], [12.394061258860997, 0.034098949150315354, 1.480108073779515, 0.029789915840540613, 0.26366178478513447, 0.039916056474404674, 0.044078383195613115], [0.704119609328996, 1.3785946920679727e-06, 0.019224923850804286, 13.521930104098242, 0.038623792159698224, 7.34166644542765e-05, 0.0017412295812901711]]","""I love the poorly educated!"" That's really what Donald Trump is all about. He thinks were fooled. Trump uses sleazy bankruptcy laws to avoid paying workers. He bans disabled veterans. He even tried to use eminent domain to kick a widow from her home. Donald Trump puts himself first, and us last.",center,center,base,0,center,0,0,both
PRES_OBAMA_MAIN_STREET,"[[2.0254226667540416, 5.958543494801104e-05, 0.0036273180739954114, 0.013208757653566343, 5.210625273840768, 3.154178947235258e-05, 7.0327392646244595], [0.008064885254701492, 4.374001314728919e-06, 0.009345238579082404, 4.151686243701044, 8.137765219626369, 7.874208256606455e-08, 1.9788486847186224], [0.11991118565451962, 0.0001222946980762893, 13.594427180578418, 0.01460437330620086, 0.5551008436205542, 0.060025982518286634, 2.3223330547353944], [0.4833210791860308, 1.0305601610178477e-08, 1.6671850212982722, 0.6013149129492896, 0.08896720329565662, 7.006253514971052, 4.438672321183341], [0.3013236088963021, 1.7907015004266e-09, 0.5044472467706761, 3.5747035352733567e-05, 5.40649698724953, 0.00013571480920565327, 8.073274467452572], [1.4677056623537261, 5.6150525149541035e-08, 1.3652954219568123, 0.005078269394895677, 0.6821948221689674, 0.03795525205349472, 10.727484309802904], [0.021403205991940344, 5.284963588368505e-05, 0.0018907772323340443, 5.511875992018256, 8.595774515785674, 1.5530193016730676e-05, 0.15470217505025202], [0.013538626288729054, 9.330138566505347e-08, 3.5114333033561707, 0.002760824905375817, 10.675270216805595, 1.3782326391265087e-06, 0.08270950721842903], [0.005421506440533059, 9.275235817491583e-08, 0.01602997737271445, 0.007317784807777831, 0.07077522043670927, 0.0023019724592034307, 14.183867829186577], [2.1890342235565186, 0.09014823340943881, 4.983562656811306, 3.451759261744363, 1.0030505912644523, 0.5856458629880633, 1.9825137087277003], [0.0009209111500113949, 2.0312209146672315e-06, 1.57048620131551, 0.0009782652490016796, 14.208178130947815, 3.5535945940958585e-06, 0.5459625464008779], [3.761898272257115e-06, 2.228663780507694e-06, 2.851035917826396e-05, 14.285332815987724, 0.0001007431949671757, 2.6921217636096832e-08, 0.00024639739422127604]]","America has suffered three years of crushing unemployment. ""We will create nearly half a million jobs by investing in clean energy."" What really happened? Billions wasted on failed Investments, thousands of Americans who lost jobs, while stimulus money went to companies that created jobs overseas paid for by the four billion Obama's added to our debt every day. Tell President Obama for real job growth, cut the debt. Support the new majority agenda at New Majority Agenda dot-org.",center,center,center,0,center,0,0,0
PRES_OBAMA_MOSAIC,"[[1.4185043099056838, 0.002788084550702396, 3.4279446431195097, 0.5190559573121727, 3.0468044223753976, 0.2763586549632088, 5.594258130957458], [0.05247456898568692, 1.1366621047133802e-05, 2.5895976012804858, 0.02260472444713728, 5.940002644155053, 1.509793561306962, 6.212046284168157], [0.014108941950779873, 1.0683277400298501e-06, 0.8312043826394894, 10.73555112909305, 4.605147266113998, 0.00355636010422967, 0.1369618361269774], [0.8118649098111422, 5.9058963623527365e-09, 0.07055153426409398, 0.0025271510249221508, 13.394363384251454, 1.716962674457014e-07, 0.006407551666400149], [0.35553345722811563, 5.602383946142129e-12, 0.00012435831584817997, 13.92538036618914, 0.0008892536113437797, 3.352862692346248e-11, 0.003787151737404721], [0.04544052880053492, 1.7817831756422718e-05, 7.399565860269656, 5.427086571894703, 0.06305117079166554, 1.3153367286682127, 2.367576772464635], [0.007285701688219052, 2.8850723457876354e-08, 2.4464609809431836, 0.06257812777648167, 9.205945332211499, 0.00016836956397506844, 4.604092088280892], [3.4056840395963484, 6.24335621350782e-05, 0.44668907562624505, 0.002828477461514222, 2.562750996193597, 0.00032333057701997497, 7.8673753555906245], [0.0017216106819164562, 1.2410722765845656e-07, 3.1023421545110734, 0.03577561751319384, 10.549122632567657, 0.051880306833854625, 2.918882237492997], [3.922891850643864, 5.489026195924419e-06, 3.29889249028689, 0.00048793556923314597, 6.229148963553929, 0.00574514802995355, 0.828542716160834], [0.02648991235349905, 1.3009170945762364e-06, 0.15034254429299782, 1.6145183893577486, 0.5774925476073305, 9.453554412001356e-05, 14.296736692618527], [0.12191786475528174, 4.2709510187819796e-07, 11.992947204526171, 0.005972812907455545, 2.6649384865198287, 0.015965740874815275, 1.5247895046295337], [0.04443455420966659, 1.1329615087366359e-06, 0.011875963537022471, 0.0024798120388628115, 12.201820952551705, 2.5913400187554155e-06, 2.025099524429866]]","President Obama's agenda promised so much. ""If you like your health care plan, you'll be able to keep your health care plan."" Promise broken. Millions could lose their health care coverage and could be forced into a government pool. ""We can't mortgage our children's future on a mountain of death."" Promise broken. Under Obama the federal debt has exploded by more than five trillion. Tell President Obama to cut the debt and support the new majority agenda at New Majority Agenda dot-org.",center,center,center,0,center,0,0,0
PRES_OBAMA_ONLY_CHOICE,"[[0.015148605202595224, 3.818217603544853e-12, 0.857742187695178, 0.11984923060057653, 0.0249082397269341, 1.0126428512552796, 14.296239700298665], [0.3976600497666442, 6.705993671150685e-08, 3.9601898315001507, 1.3166521081929, 0.03901214246181961, 10.561575075682148, 0.05144210038136463], [1.2375139416061847, 0.0032625642200030947, 1.7309113712194681, 9.337310337994055, 4.076740077367874, 0.12792567186122203, 0.1460613880956619], [0.23619287978157688, 9.753475703396509e-07, 2.2254241832177333, 0.0011088537243028201, 13.848067386094865, 3.415970273812667e-05, 0.015702736280804947], [0.8178074703453485, 4.1447523434443985e-06, 2.2679521465978874, 0.01373035022514672, 13.181299584063733, 0.00015686213971955278, 0.04558054954209768], [0.024182673404363135, 6.830388661186842e-07, 1.1905697719670247, 0.005066140337567126, 3.0568650081504627, 1.147443197670009, 10.90240338507958], [1.7164324962775275, 5.628808747486276e-10, 0.014219176454922506, 14.280018588757605, 0.143703696109526, 0.004075592917327683, 0.1680813346253784], [0.22209045429293633, 4.3596633736707484e-08, 0.13580286343182837, 0.3892114344966346, 5.898937218043268, 6.552967228573682e-05, 9.680424022431277], [0.06587718823426057, 5.669898394549829e-06, 0.027221080774803664, 5.430982026141423, 10.70290731201743, 1.0487325872781031e-06, 0.09953653501811255], [0.2952221890850732, 2.3814841439934205e-05, 0.2961315902182111, 8.903939971213227, 6.769112343050526, 6.363685260482996e-05, 0.062037099416284984], [0.00010334017919759997, 1.4325006654854758e-08, 0.0016205491918106028, 0.2848096206527397, 14.28457261802032, 6.08169943044777e-06, 2.0469639328662814], [0.05542314481940408, 1.1188595945727632e-07, 0.8294921065813209, 1.248825592341656, 13.51641058219123, 0.0012082799178585787, 0.9667163175334371], [0.009952553429582931, 3.1693102864085544e-08, 10.53841980967813, 0.020648198390596374, 4.191408069954126, 0.011985880281596388, 1.8873106123240115], [0.45064009383906073, 9.151900638551395e-05, 12.033310133213087, 0.05606949132153211, 3.9984574069465686, 0.010958985746481317, 0.11019683893759478], [0.5155040711468579, 1.1777109049887328e-09, 0.05404237661200661, 8.390174722783704e-08, 13.37778662160343, 3.4070218545317037e-12, 2.379196859440025]]","Barack Obama sticks by his principles. It's time for Republicans to stand by ours. That's how we win. And that's how I'll lead as president. I won't compromise the values that make us who we are. The Constitution wasn't a first draft. Our border isn't a revolving door, and the rule of law wasn't meant to be broken. America is off track, but our founding principles will get us back. I'm Ted Cruz and I approve this message.",center,base,0,center,0,0,center,center
